brand,model_year,milage,fuel_type,ext_col,int_col,accident,price,horsepower,displacement,cylinders,transmission_type,gears
18,2015,66000.0,4,9,3,0,0,199.0,2.4,4.0,0,7.0
3,2014,59715.0,3,3,0,0,2,560.0,4.0,8.0,0,8.0
4,2012,85252.0,3,0,0,1,0,326.0,3.0,6.0,0,6.0
34,2020,17900.0,4,0,0,0,3,362.0,3.0,6.0,0,9.0
4,2016,25500.0,3,9,0,1,2,560.0,4.4,8.0,0,7.0
18,2023,3800.0,3,9,0,1,1,276.0,2.0,4.0,2,6.0
22,2022,36602.0,4,1,6,1,1,199.5,1.6,4.0,0,6.0
42,2023,2800.0,2,9,4,1,4,835.0,0.0,0.0,0,1.0
2,2021,2165.0,3,0,0,1,4,420.0,5.2,12.0,0,8.0
34,2018,33000.0,3,8,0,0,1,241.0,2.0,4.0,0,9.0
4,2016,76009.0,3,9,6,1,1,300.0,3.0,6.0,0,8.0
21,2020,31349.0,3,3,0,1,1,285.0,5.7,8.0,0,8.0
25,2015,48000.0,3,5,7,1,1,306.0,3.5,6.0,0,8.0
4,2005,91420.0,3,0,0,1,0,215.0,2.5,6.0,0,6.0
49,2003,124756.0,3,6,6,0,0,130.0,1.8,4.0,2,6.0
7,2023,2415.0,3,3,3,1,4,400.0,6.2,8.0,0,10.0
14,2012,116226.0,3,0,0,1,0,288.0,3.6,6.0,0,6.0
25,2020,37869.0,3,3,7,1,3,301.0,5.0,8.0,0,10.0
4,2019,41500.0,5,9,0,1,4,369.0,1.5,3.0,0,8.0
25,2013,87001.0,4,6,6,1,0,200.0,2.5,4.0,1,1.0
7,2022,4451.0,3,9,0,0,2,400.0,3.0,6.0,0,8.0
4,2020,27158.0,3,1,0,1,1,335.0,2.0,6.0,0,8.0
8,2014,139804.0,3,9,3,0,0,195.0,4.3,6.0,0,6.0
21,2022,27300.0,3,4,0,1,2,285.0,3.6,6.0,0,8.0
4,2014,36812.0,3,9,6,1,1,240.0,2.0,4.0,0,8.0
