Make,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Horsepower,HP RPM,Torque,Torque RPM
18,0,2019,17058.249,5,1,15,13,0,2,1.197,1,3995.0,1745.0,1500.0,5.0,37.0,83.0,6000.0,115.0,4000
18,0,2016,25497.018,5,0,15,13,0,2,0.998,1,3600.0,1600.0,1560.0,5.0,35.0,67.0,6000.0,90.0,3500
18,0,2016,31875.93,2,1,45,4,0,2,1.248,1,4490.0,1730.0,1485.0,5.0,43.0,89.0,4000.0,200.0,1750
18,0,2015,28546.749,5,1,45,13,0,2,1.373,1,4490.0,1730.0,1485.0,5.0,43.0,91.0,6000.0,130.0,4000
8,1,2017,41359.842,2,0,45,7,0,2,1.582,1,4270.0,1780.0,1630.0,5.0,60.0,126.0,4000.0,265.0,1900
8,1,2016,36007.443,5,1,45,14,0,2,1.591,1,4270.0,1780.0,1630.0,5.0,60.0,122.0,6400.0,154.0,4850
24,0,2019,6944.643,5,0,45,13,0,2,0.999,1,3679.0,1579.0,1478.0,5.0,28.0,67.0,5500.0,91.0,4250
15,1,2019,28752.921,2,1,45,14,0,2,1.956,1,4655.0,1835.0,1760.0,5.0,60.0,169.0,3750.0,350.0,1750
28,0,2017,21652.407,5,0,45,13,1,2,1.199,1,3746.0,1647.0,1535.0,5.0,35.0,84.0,6000.0,114.0,3500
29,1,2015,27096.714,2,1,15,13,0,2,2.494,2,4585.0,1765.0,1760.0,7.0,55.0,101.0,3600.0,200.0,1200
1,4,2018,5906.952,2,0,45,2,0,1,1.995,0,4657.0,1881.0,1678.0,5.0,67.0,190.0,4000.0,400.0,1750
11,2,2020,7012.9529999999995,2,0,45,14,0,2,1.956,0,4395.0,1818.0,1640.0,5.0,60.0,171.0,3750.0,350.0,1750
17,0,2014,48438.0,2,1,24,14,1,2,2.179,2,4430.0,1817.0,1975.0,8.0,60.0,120.0,4000.0,290.0,1800
7,0,2016,31282.254,5,1,69,14,0,2,1.198,1,3610.0,1680.0,1500.0,5.0,35.0,87.0,6000.0,109.0,4500
1,3,2017,9873.9,5,0,15,14,0,2,1.998,2,4633.0,1811.0,1429.0,5.0,57.0,181.0,5000.0,270.0,1350
7,0,2017,39744.0,5,1,45,14,0,2,1.497,1,4440.0,1695.0,1495.0,5.0,40.0,117.0,6600.0,145.0,4600
30,0,2013,48438.0,2,1,29,13,0,2,1.199,1,3970.0,1682.0,1453.0,5.0,45.0,74.0,4200.0,180.0,2000
18,1,2021,14904.0,5,1,45,13,0,2,1.462,1,3995.0,1790.0,1640.0,5.0,48.0,103.0,6000.0,138.0,4400
18,0,2019,25032.51,5,1,56,7,1,2,1.196,2,3675.0,1475.0,1800.0,7.0,40.0,73.0,6000.0,101.0,3000
8,0,2015,43283.7,5,0,45,2,0,2,1.197,1,3765.0,1660.0,1520.0,5.0,43.0,79.0,6000.0,112.0,4000
1,2,2012,45999.333,2,0,27,1,0,2,1.995,0,4648.0,1881.0,1661.0,5.0,67.0,184.0,4000.0,380.0,1750
29,4,2019,45333.0,2,0,45,14,0,2,2.755,2,4795.0,1855.0,1835.0,7.0,80.0,174.0,3400.0,450.0,1600
7,0,2006,80730.0,5,1,16,8,2,2,1.799,1,4545.0,1750.0,1450.0,5.0,50.0,130.0,6300.0,171.62,4300
18,0,2021,14904.0,5,0,0,7,0,2,1.197,1,3845.0,1735.0,1530.0,5.0,37.0,89.0,6000.0,113.0,4400
8,0,2021,26703.0,2,1,0,14,0,2,1.493,1,3995.0,1775.0,1505.0,5.0,37.0,99.0,4000.0,240.0,1500
0,2,2016,25150.5,2,0,22,14,0,2,1.968,1,4456.0,1796.0,1416.0,5.0,50.0,141.0,3500.0,320.0,1750
7,1,2017,30437.073,5,0,45,7,0,2,1.497,1,4440.0,1695.0,1495.0,5.0,40.0,117.0,6600.0,145.0,4600
6,0,2013,40354.443,2,1,45,12,0,2,1.399,1,3795.0,1680.0,1427.0,5.0,45.0,68.0,4000.0,160.0,2000
7,0,2017,57299.67,5,1,45,4,0,2,1.199,1,3955.0,1694.0,1544.0,5.0,40.0,89.0,6000.0,110.0,4800
30,0,2013,40365.0,5,1,45,14,0,2,1.198,1,3970.0,1682.0,1453.0,5.0,45.0,74.0,5400.0,110.0,3750
7,0,2014,68310.0,2,1,72,1,0,2,1.498,1,3990.0,1680.0,1505.0,5.0,35.0,99.0,3600.0,200.0,1750
29,2,2017,29187.0,5,0,15,4,0,2,2.494,1,4825.0,1825.0,1480.0,5.0,70.0,179.0,6000.0,233.0,4100
17,1,2022,6210.0,5,0,30,1,0,2,1.997,0,3985.0,1820.0,1844.0,4.0,57.0,150.0,5000.0,320.0,1500
20,1,2011,31981.5,2,0,27,1,1,2,2.1430000000000002,2,4596.0,1770.0,1447.0,5.0,66.0,207.0,4200.0,500.0,1600
0,3,2018,21735.0,2,0,56,14,0,2,1.968,0,4385.0,1831.0,1608.0,5.0,64.0,184.0,3500.0,380.0,1750
18,0,2017,38202.678,5,1,51,12,0,2,1.197,1,3995.0,1745.0,1500.0,5.0,37.0,83.0,6000.0,115.0,4000
